# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Mar  7 09:26:46 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
#
pl_name,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim
11 Com b,323.21000000000,0.06000000000,-0.05000000000,0,1.09000000,,,0,15.46400000,0.12300000,-0.12500000,0,,,,,,,,,4874.00,,,0,2.090000,0.640000,-0.630000,0,-0.2600,0.1000,-0.1000,0
11 UMi b,516.21997000000,3.20000000000,-3.20000000000,0,1.09000000,,,0,14.74000000,2.50000000,-2.50000000,0,,,,,,,,,4213.00,46.00,-46.00,0,2.780000,0.690000,-0.690000,0,-0.0200,,,0
14 And b,186.76000000000,0.11000000000,-0.12000000000,0,1.16000000,,,0,3.55900000,0.11400000,-0.12200000,0,,,,,,,,,4888.00,,,0,1.780000,0.430000,-0.290000,0,-0.2100,0.1000,-0.1000,0
14 Her b,1765.03890000000,1.67709000000,-1.87256000000,0,1.12000000,,,0,8.05300000,1.63200000,-0.88300000,0,,,,,,,,,5338.00,25.00,-25.00,0,0.910000,0.113000,-0.113000,0,0.4052,0.0466,-0.0466,0
16 Cyg B b,798.50000000000,1.00000000000,-1.00000000000,0,1.20000000,,,0,1.78000000,0.08000000,-0.08000000,0,,,,,,,,,5750.00,8.00,-8.00,0,1.080000,0.040000,-0.040000,0,0.0600,,,0
17 Sco b,578.38000000000,2.01000000000,-2.09000000000,0,1.15000000,,,0,4.32000000,0.15000000,-0.12000000,0,,,,,,,,,4157.00,11.00,-10.00,0,1.220000,0.130000,-0.140000,0,-0.0100,0.1000,-0.1000,0
18 Del b,982.85000000000,1.06000000000,-0.92000000000,0,1.12000000,,,0,9.20700000,0.16000000,-0.07700000,0,,,,,,,,,4980.00,,,0,2.100000,0.130000,-0.090000,0,-0.0600,0.1000,-0.1000,0
1RXS J160929.1-210524 b,,,,,1.66400000,,,0,8.00000000,1.00000000,-1.00000000,0,,,,,1700.00,100.00,-100.00,0,4060.00,300.00,-200.00,0,0.850000,0.200000,-0.100000,0,,,,
24 Boo b,30.33000000000,0.00000000000,-0.01000000000,0,1.24000000,,,0,0.88300000,0.03600000,-0.04300000,0,,,,,,,,,4816.00,,,0,1.050000,0.270000,-0.180000,0,-0.7800,0.1000,-0.1000,0
24 Sex b,452.80000000000,2.10000000000,-4.50000000000,0,1.19000000,,,0,1.99000000,0.26000000,-0.38000000,0,,,,,,,,,5098.00,44.00,-44.00,0,1.540000,0.080000,-0.080000,0,-0.0300,0.0400,-0.0400,0
24 Sex c,883.00000000000,32.40000000000,-13.80000000000,0,1.24000000,,,0,0.86000000,0.35000000,-0.22000000,0,,,,,,,,,5098.00,44.00,-44.00,0,1.540000,0.080000,-0.080000,0,-0.0300,0.0400,-0.0400,0
2M0437 b,,,,,1.16000000,,,0,4.00000000,1.00000000,-1.00000000,0,,,,,1450.00,50.00,-50.00,0,3100.00,100.00,-100.00,0,0.170000,0.010000,-0.020000,0,0.0100,0.0500,-0.0500,0
2MASS J01033563-5515561 AB b,,,,,1.10000000,,,0,13.00000000,1.00000000,-1.00000000,0,,,,,,,,,,,,,0.190000,0.020000,-0.020000,0,,,,
2MASS J01225093-2439505 b,,,,,1.00000000,,,0,24.50000000,2.50000000,-2.50000000,0,,,,,1600.00,100.00,-100.00,0,3530.00,50.00,-50.00,0,0.400000,0.050000,-0.050000,0,,,,
2MASS J02192210-3925225 b,,,,,1.44000000,0.03000000,-0.03000000,0,13.90000000,1.10000000,-1.10000000,0,,,,,,,,,3064.00,76.00,-76.00,0,0.108000,0.011000,-0.011000,0,,,,
2MASS J0249-0557 c,,,,,1.11000000,,,0,11.60000000,1.30000000,-1.00000000,0,,,,,,,,,2859.00,157.00,-157.00,0,0.046000,0.012000,-0.011000,0,,,,
2MASS J03590986+2009361 b,,,,,1.08000000,,,0,18.00000000,1.00000000,-1.00000000,0,,,,,2369.00,21.00,-5.00,0,2943.00,157.00,-157.00,0,0.264996,0.020979,-0.020979,0,,,,
2MASS J04414489+2301513 b,,,,,1.13000000,,,0,7.50000000,2.50000000,-2.50000000,0,,,,,,,,,2936.00,182.00,-182.00,0,0.019000,,,0,,,,
2MASS J11011926-7732383 b,,,,,1.06000000,,,0,28.00000000,10.00000000,-7.00000000,0,,,,,2677.00,78.00,-76.00,0,,,,,,,,,,,,
